lon,lat,cnt,index
104.0637,30.589509999999997,0,18578
104.105324,30.66395,0,6456
104.04386,30.68232,0,25402
104.104421,30.695113,0,14958
104.00017,30.67693,0,21307
104.04279,30.71717,0,40789
104.0515,30.7663,0,29426
104.073181,30.702131,0,6104
104.08927,30.65085,0,24887
104.05875999999999,30.67669,0,13534
104.07964,30.65847,0,3288
104.0791,30.60132,0,33164
104.06574,30.6901,0,6940
104.09085,30.620859999999997,0,25911
104.066144,30.709335999999997,0,38815
104.05733000000001,30.69925,0,25235
104.0771,30.69025,0,35052
104.01137,30.6761,0,6926
104.14161999999999,30.628690000000002,0,34140
104.13963000000001,30.64412,0,7290
104.08885,30.68892,0,23840
104.06201999999999,30.72245,0,11045
104.06152,30.642740000000003,0,37248
104.08530999999999,30.637990000000002,0,10810
104.17079,30.632279999999998,0,957
104.14424,30.67282,0,21448
104.06296,30.653890000000004,0,38237
104.04732,30.627059999999997,0,28051
104.02779,30.69567,0,40862
104.02925,30.744290000000003,0,30717
104.04375,30.73607,0,22200
104.08391999999999,30.611520000000002,0,18609
104.16690600000001,30.693526000000002,0,28745
104.02548,30.71084,0,5200
104.09188,30.661479999999997,0,21207
104.121926,30.650747999999997,0,41147
104.11341,30.681729999999998,0,26834
104.03976999999999,30.70203,0,17900
103.99217,30.54464,0,7829
104.06873,30.670820000000003,0,1592
104.11734,30.7445,0,22283
104.13495,30.66307,0,41227
104.09761,30.6792,0,42038
104.02917,30.630879999999998,0,11504
104.13616999999999,30.68062,0,19758
104.04149,30.637140000000002,0,26134
104.01926,30.7307,0,20640
104.09549,30.704590000000003,0,19821
104.11745,30.611859999999997,0,33225
104.12328000000001,30.724290000000003,0,32707
104.10032,30.71722,0,25794
104.08474,30.75883,0,39940
104.07504,30.72356,0,30559
104.04919,30.755740000000003,0,24149
104.02895799999999,30.682927000000003,0,11867
104.02003,30.84122,0,8366
104.07536,30.71415,0,24490
104.08328399999999,30.705019,0,38758
104.07868,30.79097,0,28142
104.03623,30.57817,0,25433
104.08431999999999,30.67385,0,18831
104.18,30.689290000000003,0,17038
103.9301,30.781209999999998,0,39342
104.11179,30.734779999999997,0,22201
104.013388,30.704845000000002,0,36215
104.14084,30.60435,0,7913
104.00331,30.570320000000002,0,29927
104.05362,30.668329999999997,0,23864
104.02076,30.646538,0,3978
104.12844,30.635959999999997,0,42220
104.040627,30.662699,0,13059
104.0523,30.69132,0,6042
104.16388,30.66553,0,42345
104.11381,30.669340000000002,0,6472
103.99669,30.704659999999997,0,18377
104.0012,30.653709999999997,0,20011
104.04852,30.526320000000002,0,21602
104.12613,30.60295,0,41882
104.10752,30.761128999999997,0,33017
103.96428,30.69156,0,37423
104.06233,30.73238,0,14135
104.1475,30.657360999999998,0,41249
104.10793000000001,30.64821,0,6407
104.08673,30.588490000000004,0,38804
104.05402,30.65907,0,29485
104.0296,30.878290000000003,0,19342
104.10216,30.618409999999997,0,10654
104.01306,30.68794,0,32611
104.1179,30.660109999999996,0,34565
104.00265999999999,30.6329,0,38234
104.01335999999999,30.717440000000003,0,33660
104.06694,30.54308,0,24138
103.82366,30.851509999999998,0,28863
103.95682,30.57135,0,40593
103.97906,30.650009999999998,0,39660
103.97314,30.672309999999996,0,18351
104.07481,30.645090000000003,0,40676
104.02417,30.777140000000003,0,32413
104.05518000000001,30.71205,0,5180
