,room,huskies_k
570,3,-9.0
576,1,2.875
583,2,-0.5454545454545454
584,2,0.25
595,3,-1.2
610,1,-4.625
612,2,3.857142857142857
613,3,0.08333333333333333
614,4,-1.0
615,4,0.5
620,1,-37.0
621,1,5.5
627,2,18.0
628,2,-4.5
629,2,-0.21428571428571427
630,2,1.2727272727272727
631,3,-2.857142857142857
632,2,-0.16666666666666666
633,2,-0.75
634,2,0.029411764705882353
635,2,0.36363636363636365
636,4,2.1666666666666665
637,4,14.5
638,2,-47.0
639,2,12.5
640,2,-24.0
652,1,0.3269230769230769
653,5,-3.4
655,2,-3.8
656,2,-0.5769230769230769
657,1,0.9761904761904762
660,2,0.42857142857142855
661,2,0.44642857142857145
662,5,-0.85
663,4,2.25
665,3,-0.04
680,1,0.43478260869565216
692,2,-1.8823529411764706
693,4,-5.5
694,4,3.0
695,4,-0.0
696,4,1.5
697,4,9.5
698,4,-9.0
699,4,-0.4
700,3,-0.625
701,3,-9.0
702,2,-9.0
703,2,13.5
704,2,-16.5
705,2,18.5
711,2,-3.8
712,2,1.1904761904761905
713,2,0.1111111111111111
717,1,-3.8
718,2,0.17142857142857143
734,3,2.6
735,3,-2.25
736,2,-1.9166666666666667
737,2,-1.9166666666666667
738,3,0.0
739,4,1.0
740,4,-4.0
741,4,-0.6666666666666666
742,3,-0.25
743,2,1.1666666666666667
744,3,0.3888888888888889
745,4,-0.8571428571428571
746,4,-2.0
747,3,1.0
748,4,0.0
749,4,0.07142857142857142
750,5,inf
756,2,-16.0
757,2,0.8166666666666667
758,3,-0.25
759,2,inf
760,2,-7.8
761,2,-12.0
762,2,0.19047619047619047
763,2,3.0
764,3,1.1282051282051282
801,2,-1.8
802,2,2.0
803,2,-1.75
805,4,inf
806,4,0.5384615384615384
807,5,-9.0
822,4,-0.7586206896551724
823,2,-0.6
829,4,-0.0
835,4,-0.1111111111111111
836,4,0.2857142857142857
837,4,-0.0
838,4,2.25
839,4,-0.1724137931034483
840,2,-0.38461538461538464
843,3,-8.666666666666666
844,3,0.1111111111111111
845,3,-1.5625
852,4,0.75
853,3,-0.8333333333333334
854,2,-1.5
855,2,0.38461538461538464
856,3,-0.8235294117647058
857,2,-7.4
858,2,29.0
859,2,-2.1578947368421053
860,4,0.03225806451612903
861,2,-0.6
862,2,-0.5454545454545454
863,2,-1.7142857142857142
864,2,-13.0
865,2,inf
866,2,-10.75
867,2,-1.625
879,2,3.25
880,2,-0.5714285714285714
881,2,7.25
882,2,0.5
897,2,-1.3333333333333333
898,2,-11.5
899,2,-0.15789473684210525
922,1,0.7435897435897436
924,2,9.5
929,1,-1.3846153846153846
936,1,2.2222222222222223
937,2,-7.333333333333333
938,1,-0.7647058823529411
945,2,1.8
946,2,-16.0
965,2,-0.5862068965517241
966,1,1.0588235294117647
967,2,1.4285714285714286
968,2,-2.5
969,2,-6.666666666666667
970,2,10.0
971,2,1.3333333333333333
972,2,-0.42857142857142855
973,2,1.0597014925373134
980,4,-3.75
981,4,-2.4166666666666665
982,3,-1.4
983,4,-0.42857142857142855
984,4,1.25
985,4,1.3333333333333333
986,4,0.5
995,2,4.285714285714286
996,2,0.4166666666666667
997,2,-1.2222222222222223
998,2,-0.3157894736842105
999,2,0.12195121951219512
1007,3,-0.8
1011,2,5.0
1012,2,-3.0
1013,2,1.0
1014,3,-0.6666666666666666
1018,2,-6.333333333333333
1022,2,-1.7142857142857142
1027,3,-8.0
1028,2,0.26666666666666666
1029,4,1.5
1030,4,-5.75
1031,4,5.0
1032,4,25.0
1035,2,-9.6
1041,3,19.0
1042,4,3.75
1043,4,-0.3333333333333333
1044,3,0.2
1048,3,5.0
1064,1,1.7428571428571429
1072,2,1.4615384615384615
1079,2,2.0
1080,2,-0.18181818181818182
1115,2,-0.75
1121,2,0.85
1139,2,1.0476190476190477
1140,4,1.75
1158,2,6.0
